period,flow,reporterCode,partnerCode,primaryValue
2016,X,36,368,27858613.0
2016,X,36,376,194513220.0
2016,X,36,380,517879027.0
2016,X,36,384,15815003.0
2016,X,36,392,26344514675.0
2016,X,36,404,50019475.0
2016,X,36,410,12770223384.0
2016,X,36,414,520560239.0
2016,X,36,446,65204271.0
2016,X,36,458,3504835402.0
2016,X,36,484,346186173.0
2016,X,36,496,11223365.0
2016,X,36,504,17329968.0
2016,X,36,512,368406083.0
2016,X,36,528,1772079428.0
2016,X,36,554,6462073528.0
2016,X,36,586,489914470.0
2016,X,36,604,46105552.0
2016,X,36,608,1431710950.0
2016,X,36,616,251000308.0
2016,X,36,634,416299462.0
2016,X,36,643,334468070.0
2016,X,36,682,1197313113.0
2016,X,36,702,4115666556.0
2016,X,36,704,2786239881.0
2016,X,36,710,726878830.0
2016,X,36,724,385848235.0
2016,X,36,757,780763232.0
2016,X,36,764,2640641524.0
2016,X,36,784,2145495439.0
2016,X,36,792,402402424.0
2016,X,36,818,308909464.0
2016,X,36,826,7504114602.0
2016,X,36,834,39086059.0
2016,X,724,12,3324512942.259
2016,X,724,24,167931643.968
2016,X,724,31,39020643.469
2016,X,724,32,942858798.148
2016,X,724,36,1500061500.885
2016,X,724,50,126255616.872
2016,X,724,76,2485130414.977
2016,X,724,124,1647606590.443
2016,X,724,144,74074220.385
2016,X,724,152,1545747670.312
2016,X,724,156,5398818229.497
2016,X,724,170,977840808.144
2016,X,724,192,1005916004.051
2016,X,724,214,607974470.615
2016,X,724,218,386583777.693
2016,X,724,251,43216459067.635
2016,X,724,276,32397303139.526
2016,X,724,288,210215707.11
2016,X,724,344,1056564888.55
2016,X,724,360,428915303.534
2016,X,724,364,398438358.911
2016,X,724,368,179818411.705
2016,X,724,376,1598968530.231
2016,X,724,380,22424319071.223
2016,X,724,384,263672873.222
2016,X,724,392,2660956111.915
2016,X,724,404,87755180.818
2016,X,724,410,1815804956.602
2016,X,724,414,393767011.391
2016,X,724,446,17421975.724
2016,X,724,458,674427839.26
2016,X,724,484,4532538582.377
2016,X,724,496,8756332.07
2016,X,724,504,7891637730.549
2016,X,724,512,474572548.284
2016,X,724,528,9138793892.91
2016,X,724,554,226364669.162
2016,X,724,586,270989074.58
2016,X,724,604,655624700.648
2016,X,724,608,407702782.593
2016,X,724,616,5323321669.052
2016,X,724,634,378244062.103
2016,X,724,643,1767916570.703
2016,X,724,682,2616668624.964
2016,X,724,702,610227165.921
2016,X,724,704,428706378.822
2016,X,724,710,1266007437.709
2016,X,724,757,4424378864.766
2016,X,724,764,619555563.837
2016,X,724,784,1941667489.804
2016,X,724,792,5731679016.289
2016,X,724,818,1533964145.95
2016,X,724,826,22219737253.51
2016,X,724,834,28070535.332
2016,X,360,12,133708897.0
2016,X,360,24,57713955.0
2016,X,360,31,1042380.0
2016,X,360,32,219553594.0
2016,X,360,36,3199006498.0
2016,X,360,50,1266688085.0
2016,X,360,76,1102041179.0
2016,X,360,124,732572062.0
2016,X,360,144,262228402.0
2016,X,360,152,143813166.0
2016,X,360,156,16785585024.0
2016,X,360,170,124974843.0
2016,X,360,192,12787444.0
2016,X,360,214,51826655.0
2016,X,360,218,57511271.0
2016,X,360,251,891541478.0
2016,X,360,276,2638679905.0
2016,X,360,288,109873593.0
2016,X,360,344,2144834094.0
2016,X,360,364,235194397.0
2016,X,360,368,91080094.0
2016,X,360,376,103159348.0
2016,X,360,380,1572117669.0
2016,X,360,384,52073786.0
