Country,ISO3,Project_007_Region,Official_Region,Sub_Region,Source,Notes
North Macedonia,MKD,Europe,Europe & Central Asia,Southern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Norway,NOR,Europe,Europe & Central Asia,Northern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Poland,POL,Europe,Europe & Central Asia,Eastern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Portugal,PRT,Europe,Europe & Central Asia,Southern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Romania,ROU,Europe,Europe & Central Asia,Eastern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Russian Federation,RUS,Europe,Europe & Central Asia,Eastern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
San Marino,SMR,Europe,Europe & Central Asia,Southern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Serbia,SRB,Europe,Europe & Central Asia,Southern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Slovak Republic,SVK,Europe,Europe & Central Asia,Eastern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Slovenia,SVN,Europe,Europe & Central Asia,Southern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Spain,ESP,Europe,Europe & Central Asia,Southern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Sweden,SWE,Europe,Europe & Central Asia,Northern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Switzerland,CHE,Europe,Europe & Central Asia,Western Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Tajikistan,TJK,Europe,Europe & Central Asia,Central Asia,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Turkmenistan,TKM,Europe,Europe & Central Asia,Central Asia,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Ukraine,UKR,Europe,Europe & Central Asia,Eastern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
United Kingdom,GBR,Europe,Europe & Central Asia,Northern Europe,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Uzbekistan,UZB,Europe,Europe & Central Asia,Central Asia,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Antigua and Barbuda,ATG,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Argentina,ARG,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Aruba,ABW,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
"Bahamas, The",BHS,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Barbados,BRB,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Belize,BLZ,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Bolivia,BOL,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Brazil,BRA,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
British Virgin Islands,VGB,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Cayman Islands,CYM,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Chile,CHL,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Colombia,COL,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Costa Rica,CRI,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Cuba,CUB,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Curacao,CUW,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Dominica,DMA,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Dominican Republic,DOM,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Ecuador,ECU,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
El Salvador,SLV,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Grenada,GRD,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Guatemala,GTM,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Guyana,GUY,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Haiti,HTI,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Honduras,HND,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Jamaica,JAM,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Mexico,MEX,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Nicaragua,NIC,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Panama,PAN,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Paraguay,PRY,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Peru,PER,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Puerto Rico (US),PRI,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Sint Maarten (Dutch part),SXM,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
St. Kitts and Nevis,KNA,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
St. Lucia,LCA,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
St. Martin (French part),MAF,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
St. Vincent and the Grenadines,VCT,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Suriname,SUR,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Trinidad and Tobago,TTO,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Turks and Caicos Islands,TCA,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Uruguay,URY,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
"Venezuela, RB",VEN,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Virgin Islands (U.S.),VIR,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Armenia,ARM,Middle East,Europe & Central Asia,Western Asia,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Azerbaijan,AZE,Middle East,Europe & Central Asia,Western Asia,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Bahrain,BHR,Middle East,"Middle East, North Africa, Afghanistan & Pakistan",Western Asia,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Cyprus,CYP,Middle East,Europe & Central Asia,Western Asia,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
Georgia,GEO,Middle East,Europe & Central Asia,Western Asia,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",
"Iran, Islamic Rep.",IRN,Middle East,"Middle East, North Africa, Afghanistan & Pakistan",Southern Asia,"World Bank (country list, Official_Region) + UN M49 via ISO-3166-Countries-with-Regional-Codes (Sub_Region, base geography)",UN M49 classifies Iran as Southern Asia; overridden to Middle East to match standard market-research/IMF regional convention.
